Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
5.443100881798388357e-01,2.167586077799276544e+18,2.621565252351758400e+17,1.474952157209302187e+09,8.886950127629613876e+07,4.902782781477205078e+12
5.516521163984853260e-01,2.162605755665512960e+18,2.703097550094993600e+17,1.473438054660441399e+09,9.172755995900800824e+07,5.128716052582243164e+12
5.589941446171317052e-01,2.161339713072945920e+18,2.784693855362174400e+17,1.473184431946001053e+09,9.451273699939021468e+07,5.354773734822906250e+12
5.663361728357781955e-01,2.155306309484447232e+18,2.865898794292301760e+17,1.471323040931433678e+09,9.739189540857140720e+07,5.590371191645930664e+12
5.736782010544246857e-01,2.152922414778498816e+18,2.946192281078246400e+17,1.470698827887443542e+09,1.001630050018548518e+08,5.823971199795271484e+12
5.810202292730711759e-01,2.145779369230507264e+18,3.024996206976638720e+17,1.468464532614078999e+09,1.029986131701699346e+08,6.065493703528369141e+12
5.883622574917176662e-01,2.142143240258719744e+18,3.101676455652222080e+17,1.467416961701253653e+09,1.056849054019482583e+08,6.302332242499688477e+12
5.957042857103640454e-01,2.133882741265920768e+18,3.175546321700355200e+17,1.464797699876427174e+09,1.083953887273395061e+08,6.544629376619766602e+12
6.030463139290105357e-01,2.128896043624008192e+18,3.245871626395703040e+17,1.463283021940020800e+09,1.109105886464917064e+08,6.779024494700491211e+12
6.103883421476570259e-01,2.119572572283944960e+18,3.311877678789234560e+17,1.460284820592185736e+09,1.133983464077295214e+08,7.015465249343937500e+12
6.177303703663035161e-01,2.113190207914521600e+18,3.372758368515467520e+17,1.458274085921643496e+09,1.156421279468821883e+08,7.240333217897506836e+12
6.250723985849500064e-01,2.102934625291218688e+18,3.427687388697951360e+17,1.454926287567786932e+09,1.177959123423377126e+08,7.462838922995491211e+12
6.324144268035964966e-01,2.095181308088565504e+18,3.475947961791307520e+17,1.452411828671412230e+09,1.196612384027097672e+08,7.670060461603591797e+12
6.397564550222428759e-01,2.084196568344557056e+18,3.516521710472060160e+17,1.448766870212430954e+09,1.213625802319886684e+08,7.869425049572068359e+12
6.470984832408893661e-01,2.075176732197027584e+18,3.548699685980493440e+17,1.445765794029152632e+09,1.227273359432146102e+08,8.049246261697962891e+12
6.544405114595358564e-01,2.063769052127006720e+18,3.571729437038069760e+17,1.441911529460667849e+09,1.238539731482011378e+08,8.215304100270818359e+12
6.617825396781823466e-01,2.053691605981692928e+18,3.584924175055064960e+17,1.438477952540136576e+09,1.246082419520100951e+08,8.358062205423480469e+12
6.691245678968288368e-01,2.042237844271514112e+18,3.587680514510423680e+17,1.434529424769783974e+09,1.250472960875716060e+08,8.480565386220729492e+12
6.764665961154752161e-01,2.031404975178496512e+18,3.579498398200225920e+17,1.430752545926913261e+09,1.250914565341991037e+08,8.576646909581371094e+12
6.838086243341217063e-01,2.020346984306308352e+18,3.559999135566726400e+17,1.426853024715871572e+09,1.247500293968828470e+08,8.646070176641200195e+12
6.911506525527681966e-01,2.009150327814448640e+18,3.528941003687537280e+17,1.422859271569777012e+09,1.240087854856583625e+08,8.686977610837292969e+12
6.984926807714146868e-01,1.998967009384542720e+18,3.486234761658830080e+17,1.419173454655541420e+09,1.228262391120115072e+08,8.695539644836476562e+12
7.058347089900611770e-01,1.987867145928204288e+18,3.431948998502286720e+17,1.415122286515607119e+09,1.212598031705309302e+08,8.674878390809648438e+12
7.131767372087076673e-01,1.979039728060317696e+18,3.366314329347461760e+17,1.411826040135859251e+09,1.192184530405572355e+08,8.617557235075163086e+12
7.205187654273540465e-01,1.968536626853906176e+18,3.289739621731011200e+17,1.407901340890273571e+09,1.168313263928984404e+08,8.531946610797206055e+12
7.278607936460005368e-01,1.961510472714190592e+18,3.202795002487271680e+17,1.405168477183661461e+09,1.139648040250142515e+08,8.407417228308646484e+12
7.352028218646470270e-01,1.952105688193106944e+18,3.106210220117799680e+17,1.401565207116767645e+09,1.108121906974181235e+08,8.257303198785395508e+12
7.425448500832935173e-01,1.947251106594442496e+18,3.000862047573629440e+17,1.399551591788717747e+09,1.072079823702079356e+08,8.068509948340633789e+12
7.498868783019400075e-01,1.939407255410267392e+18,2.887758609253584000e+17,1.396459070706520557e+09,1.033957482116740793e+08,7.858541667559149414e+12
7.572289065205863867e-01,1.936987457192557568e+18,2.768020041138762560e+17,1.395287233243711710e+09,9.919176407512034476e+07,7.612833371051801758e+12
7.645709347392328770e-01,1.931090302971143168e+18,2.642854108058802560e+17,1.392871406634618044e+09,9.487071439151468873e+07,7.351796561961074219e+12
7.719129629578793672e-01,1.931239299303533568e+18,2.513537264427186560e+17,1.392617489483255148e+09,9.024507028702676296e+07,7.060498212473382812e+12
