Energy(eV),OscStrength
3.272060798771478485e+00,4.593449613041416342e-04
3.273699136634666829e+00,1.572706767953076939e-05
3.276171496043301268e+00,2.222251481224761928e-05
3.281014931885585906e+00,6.226643433696147079e-07
3.281232181872233422e+00,1.585620192369995309e-07
3.297323216340475760e+00,1.812333037956178948e-06
3.297533823759394966e+00,1.966711176049804311e-06
3.310195253719003805e+00,7.803709321083475694e-06
3.335454999130050169e+00,3.033548369682146142e-10
3.344696283520926183e+00,4.275858308191439575e-05
3.353617831356887180e+00,4.944591003348619042e-03
3.354633416208200547e+00,7.713753268106480869e-03
3.371443695259318751e+00,1.179553303295713916e-03
3.389367519076798452e+00,3.505601859431143494e-07
3.391861320125019397e+00,1.567134332810598430e-07
3.397645827012476971e+00,1.960571670304716988e-05
3.397877061759663864e+00,1.922397396386920634e-05
3.425860072312747029e+00,3.785235825940681542e-10
3.437515243701313228e+00,1.186213146584938965e-04
3.439118737601233544e+00,4.780762567807617146e-04
3.452780190161706564e+00,2.913249725025862919e-08
3.452914818038378186e+00,2.916150587208896042e-08
3.462814174426336322e+00,8.833431208293457651e-06
3.463101275893097242e+00,7.559893467215959210e-05
3.465433355442799179e+00,6.895443402586692730e-05
3.465585896562304313e+00,2.766230318664572853e-05
3.479388741932775808e+00,2.210753283913706219e-04
3.480658972960093411e+00,2.646306807538441569e-04
3.481999168749457585e+00,4.133754909248633751e-04
3.483103514882466278e+00,3.641107656473360678e-04
3.499190650896168098e+00,1.461167139952339131e-05
3.499394871169165366e+00,1.402733119640686086e-05
3.507553745858478234e+00,9.973886113489312556e-06
3.509395538734000120e+00,6.391828562955327380e-05
3.510657471510549410e+00,1.027865731140290413e-05
3.512899966906223970e+00,2.742586102645316057e-04
3.514248344333575247e+00,6.117782721377370546e-07
3.514467731964145525e+00,7.043536509260846094e-07
3.514564446483368965e+00,1.753144471527757278e-06
3.514938230785312978e+00,1.608710671342048642e-04
